### fixed-point VALUES (OPTIMIZATION -O0) ###
ORDER(@data=20)	BASELINE	ACCELERATOR
5	8722	995
10	15200	1140
20	24681	1478
50	39092	2355
100	65462	3805
200	115923	6729
500	268425	15429
ORDER(@data=50)	BASELINE	ACCELERATOR
5	23728	2021
10	44314	2166
20	79533	2504
50	151963	3321
100	215557	4771
200	342845	7695
500	724936	16395
ORDER(@data=100)	BASELINE	ACCELERATOR
5	47796	3715
10	91149	3860
20	172944	4198
50	382429	4915
100	615468	6365
200	870051	9289
500	1634399	17989
ORDER(@data=200)	BASELINE	ACCELERATOR
5	96047	7079
10	184804	7224
20	358660	7562
50	841139	8079
100	1558879	9529
200	2449888	12453
500	3980079	22413
ORDER(@data=500)	BASELINE	ACCELERATOR
5	241824	17291
10	467915	17436
20	914276	17774
50	2218979	17691
100	4303839	20373
200	8047407	23301
500	15145203	32025
ORDER(@data=1000)	BASELINE	ACCELERATOR
5	494743	36525
10	958158	36673
20	1874507	36984
50	4583988	35983
100	8998889	37433
200	17322568	41500
500	38591038	50255
ORDER(@data=1500)	BASELINE	ACCELERATOR
5	736234	53959
10	1428868	54109
20	2808472	54418
50	6919181	52400
100	13692501	53840
200	26900760	56768
500	62554391	66688
ORDER(@data=2000)	BASELINE	ACCELERATOR
5	984650	72524
10	1911161	72652
20	3758675	73005
50	9273519	69944
100	18347196	71384
200	36135022	74312
500	86006711	84223
